Date,KO,PEP
2010-11-10,19.724037170410156,41.763553619384766
2010-11-11,19.80286979675293,41.539527893066406
2010-11-12,19.84070587158203,41.373111724853516
2010-11-15,19.85331916809082,41.2323112487793
2010-11-16,19.57582664489746,40.98908996582031
2010-11-17,19.714574813842773,40.92508316040039
2010-11-18,20.130817413330078,41.456321716308594
2010-11-19,20.28217887878418,41.41792297363281
2010-11-22,20.266407012939453,41.41152572631836
2010-11-23,20.061445236206055,40.8930778503418
2010-11-24,20.37362289428711,41.17470169067383
2010-11-26,20.215957641601562,40.89948272705078
2010-11-29,20.127050399780273,40.969886779785156
2010-11-30,20.05719566345215,41.366722106933594
2010-12-01,20.54298973083496,42.32109069824219
2010-12-02,20.606496810913086,42.04378890991211
2010-12-03,20.479482650756836,42.02446746826172
2010-12-06,20.317556381225586,41.7407341003418
2010-12-07,20.365184783935547,41.70848083496094
2010-12-08,20.444568634033203,41.67625045776367
2010-12-09,20.584272384643555,41.73428726196289
2010-12-10,20.52711296081543,41.850345611572266
2010-12-13,20.590612411499023,42.2566032409668
2010-12-14,20.28898048400879,42.29528045654297
2010-12-15,20.555692672729492,42.06959915161133
2010-12-16,20.746198654174805,42.398468017578125
2010-12-17,20.860502243041992,42.54033660888672
2010-12-20,20.736679077148438,42.75957107543945
2010-12-21,20.793834686279297,42.17278289794922
2010-12-22,20.825576782226562,42.35332489013672
2010-12-23,20.822399139404297,42.35976791381836
2010-12-27,20.660470962524414,42.1856689453125
2010-12-28,20.752548217773438,42.09537887573242
2010-12-29,20.7811222076416,42.12763214111328
2010-12-30,20.7970027923584,41.992218017578125
2010-12-31,20.882728576660156,42.12763214111328
2011-01-03,20.708093643188477,42.398468017578125
2011-01-04,20.279457092285156,42.17922592163086
2011-01-05,20.15880584716797,42.940147399902344
2011-01-06,20.012744903564453,43.101341247558594
2011-01-07,19.977819442749023,42.81117630004883
2011-01-10,20.022279739379883,42.5919189453125
2011-01-11,19.9047908782959,42.77246856689453
2011-01-12,20.015920639038086,43.030418395996094
2011-01-13,20.130226135253906,43.146488189697266
2011-01-14,20.044504165649414,43.06266784667969
2011-01-18,20.155624389648438,42.92723083496094
2011-01-19,20.136577606201172,42.495182037353516
2011-01-20,19.981002807617188,42.495182037353516
2011-01-21,19.930194854736328,42.475852966308594
2011-01-24,20.082599639892578,42.67574691772461
2011-01-25,19.990520477294922,42.4113655090332
2011-01-26,19.990520477294922,42.46940612792969
2011-01-27,19.907970428466797,42.27595520019531
2011-01-28,19.75238800048828,41.52792739868164
2011-01-31,19.955596923828125,41.46989822387695
2011-02-01,20.019100189208984,41.947086334228516
2011-02-02,19.95876693725586,41.689144134521484
2011-02-03,19.8666934967041,41.38607406616211
2011-02-04,19.863515853881836,41.16682052612305
2011-02-07,19.850814819335938,41.06365203857422
2011-02-08,19.961944580078125,41.37962341308594
2011-02-09,20.050851821899414,41.54083251953125
2011-02-10,20.174680709838867,40.857295989990234
2011-02-11,20.184206008911133,41.186161041259766
2011-02-14,20.04767608642578,40.844390869140625
2011-02-15,20.06354522705078,41.49568557739258
2011-02-16,20.130226135253906,41.24419403076172
2011-02-17,20.495365142822266,41.72138595581055
2011-02-18,20.495365142822266,40.88954162597656
2011-02-22,20.244539260864258,40.72187423706055
2011-02-23,20.29215431213379,40.58002853393555
2011-02-24,20.282636642456055,40.64448547363281
2011-02-25,20.419166564941406,41.01203918457031
2011-02-28,20.295333862304688,40.895992279052734
2011-03-01,20.60966682434082,40.76057052612305
2011-03-02,20.4572696685791,40.89701843261719
2011-03-03,20.819225311279297,41.42334747314453
2011-03-04,20.70492172241211,41.1959228515625
2011-03-07,20.708093643188477,41.241390228271484
2011-03-08,20.84145164489746,41.44933319091797
2011-03-09,20.835102081298828,42.00812911987305
2011-03-10,20.730321884155273,41.865196228027344
2011-03-11,20.727123260498047,42.00812911987305
2011-03-14,20.448890686035156,41.676761627197266
2011-03-15,20.157854080200195,40.942508697509766
2011-03-16,19.70052719116211,40.4876594543457
2011-03-17,19.91800308227539,40.987979888916016
2011-03-18,20.052318572998047,41.09196472167969
2011-03-21,20.330554962158203,41.6507568359375
2011-03-22,20.31136703491211,41.54680252075195
2011-03-23,20.554424285888672,41.71574020385742
2011-03-24,20.68875503540039,41.71574020385742
2011-03-25,20.858243942260742,41.572792053222656
2011-03-28,20.79747772216797,41.806705474853516
2011-03-29,21.018156051635742,41.689754486083984
2011-03-30,21.12049102783203,42.2680549621582
2011-03-31,21.21643829345703,41.852203369140625
2011-04-01,21.497873306274414,42.37851333618164
2011-04-04,21.63859748840332,42.29404067993164
2011-04-05,21.57782554626465,42.61243438720703
2011-04-06,21.628999710083008,42.722900390625
2011-04-07,21.568235397338867,42.8333625793457
2011-04-08,21.513858795166016,42.70989227294922
2011-04-11,21.555437088012695,42.91133117675781
2011-04-12,21.39553451538086,43.255714416503906
2011-04-13,21.517061233520508,43.177738189697266
2011-04-14,21.84647560119629,43.34017562866211
2011-04-15,21.750534057617188,43.60658645629883
2011-04-18,21.526653289794922,43.63258743286133
2011-04-19,21.456296920776367,43.411659240722656
2011-04-20,21.699356079101562,43.74954605102539
2011-04-21,21.708951950073242,43.80152893066406
2011-04-25,21.664180755615234,43.55461120605469
2011-04-26,21.405132293701172,43.99645233154297
2011-04-27,21.42751693725586,44.13941955566406
2011-04-28,21.558639526367188,45.30250930786133
2011-04-29,21.574628829956055,44.763187408447266
2011-05-02,21.657779693603516,45.03611373901367
2011-05-03,21.708951950073242,45.21805191040039
2011-05-04,21.574628829956055,45.37398910522461
