date,price1,price2,signal,position,shares1,shares2,cash,position_value,portfolio_value,commission_paid,borrow_cost,total_commission,total_borrow_cost,returns,cumulative_returns
2011-01-20,25.85014915466309,19.31688690185547,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-21,25.864320755004883,19.09547615051269,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-24,25.96349334716797,19.141277313232425,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-25,26.324783325195312,19.5154037475586,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-26,26.50897216796875,19.7368221282959,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-27,26.90567779541016,20.03459358215332,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-28,25.9989070892334,19.27871322631836,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-31,26.04849433898925,18.93512725830078,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,26.2043514251709,19.087831497192383,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-02,25.89973258972168,18.5228328704834,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-03,25.9989070892334,18.70608139038086,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-04,26.06974029541016,18.86641502380371,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-07,25.928068161010746,18.79770278930664,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-08,26.324783325195312,18.896955490112305,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-09,26.331865310668945,18.68317604064941,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-10,26.431047439575195,18.65262794494629,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-11,26.55146789550781,19.156551361083984,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-14,26.62231636047364,19.21763610839844,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-15,26.700241088867188,19.53067398071289,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-16,26.82066535949707,19.69101333618164,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-17,27.047372817993164,19.958236694335938,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-18,27.25989532470703,20.08040428161621,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-22,26.983606338500977,19.84370803833008,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-23,26.42395782470703,19.645206451416016,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-24,26.31061363220215,19.17182350158692,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-25,26.26810646057129,19.293989181518555,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-28,26.544395446777344,19.981142044067383,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,26.04140853881836,19.46958923339844,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-02,25.970569610595703,19.68338203430176,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-03,26.60107040405273,20.06513404846192,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
