date,HD,LOW,hedge_ratio,spread,P,K
2015-12-21,104.15061950683594,62.293094635009766,1.6719690654669275,-0.0015077151042106607,2.5704275916609476e-05,0.016011988921977686
2015-12-22,104.6027374267578,62.517677307128906,1.6731675060173536,0.00019120479122136658,2.552039702257671e-05,0.01595475945807286
2015-12-23,105.57830810546876,63.34943771362305,1.666618411922904,-0.0010311730186032264,2.4856294555964557e-05,0.015746322837645058
2015-12-24,105.41173553466795,63.44929885864258,1.6613668402754493,-0.000825627807742535,2.4778303986067552e-05,0.015721660148223803
2015-12-28,105.23724365234376,63.582332611083984,1.6551487633452187,-0.0009755394962667197,2.467497930222433e-05,0.015688927411655694
2015-12-29,106.04627990722656,64.15630340576172,1.6529416044764838,-0.00034318157331370003,2.4236509638360474e-05,0.015549248658552263
2015-12-30,105.76866149902344,63.93171691894531,1.654396902094301,0.00022708275049865279,2.440667226991246e-05,0.015603604624934599
2015-12-31,104.8961944580078,63.249656677246094,1.6584367853283195,0.0006371650759007252,2.4934579626289486e-05,0.015771036007541636
2016-01-04,103.96027374267578,62.617488861083984,1.6602388336326925,0.0002870709415958572,2.5439304747692167e-05,0.015929453816723046
2016-01-05,103.4526138305664,62.75056838989258,1.6486616258656217,-0.0018402751057777778,2.533179292000055e-05,0.015895844040650718
2016-01-06,102.3818588256836,61.50289535522461,1.664625205221071,0.0025890233027752174,2.636726900399758e-05,0.016216633863559086
2016-01-07,99.46299743652344,59.94742965698242,1.6591854403409534,-0.0009050362052676064,2.7749503927314988e-05,0.016635114346989027
2016-01-08,98.27324676513672,58.95758438110352,1.6668246447071282,0.001292126313302333,2.868642767885514e-05,0.016912824804685485
2016-01-11,99.764404296875,60.45482635498047,1.6502757493577813,-0.0027295683849359875,2.7286935640351965e-05,0.016496269558970805
2016-01-12,101.12074279785156,60.94557571411133,1.6591735434215145,0.0014559844052683957,2.685042390482076e-05,0.016364145430472782
2016-01-13,96.29034423828124,58.14242935180664,1.6561204787383004,-0.0005236948405809017,2.949404169745451e-05,0.017148552356934615
2016-01-14,94.87850189208984,58.15074157714844,1.6316678342719058,-0.0041926784012105145,2.9485658031275827e-05,0.0171461288040884
2016-01-15,94.56916046142578,57.616241455078125,1.6413338556910635,0.0016727235351083891,3.0033620712301794e-05,0.01730424342730201
2016-01-19,94.9895477294922,58.00877380371094,1.637514430168797,-0.000656450482154014,2.9629735905820755e-05,0.01718784648024396
2016-01-20,92.37208557128906,56.847930908203125,1.624936740426907,-0.0022059787005446196,3.0848414317278816e-05,0.017536685257363325
2016-01-21,95.35440063476562,57.8918571472168,1.6470467159466649,0.0038074403887407016,2.974918724635316e-05,0.017222356983115698
2016-01-22,97.36904907226562,58.8773193359375,1.6537423294596953,0.0011338413099792888,2.8764487004314084e-05,0.01693575886887515
2016-01-25,96.53621673583984,58.37623596191406,1.653690478699509,-8.856693312964126e-06,2.9258961987705837e-05,0.01708028068994997
2016-01-26,96.92486572265624,58.459747314453125,1.657963664667995,0.0007288296205558709,2.9175674440655926e-05,0.017056025555294712
2016-01-27,96.4251937866211,58.08394241333008,1.6600944083467477,0.0003657715173375209,2.955331399328849e-05,0.017165729881092547
2016-01-28,96.98831176757812,57.81669998168945,1.6774619918698352,0.0029950529526701075,2.9826339147928432e-05,0.017244605020679333
2016-01-29,99.74852752685548,59.84610748291016,1.666780201601287,-0.0017795685618011703,2.7843311317291937e-05,0.01666313801774763
2016-02-01,100.34342956542967,60.68123626708984,1.653651002597853,-0.0021576265206419976,2.708423574863316e-05,0.01643504908576395
2016-02-02,99.35986328125,60.021461486816406,1.6554007531071682,0.0002907333812345314,2.768128674876917e-05,0.016614712864967556
2016-02-03,98.18601989746094,56.30508041381836,1.7435444143823848,0.01561144059691344,3.144422235823277e-05,0.01770469468430323
2016-02-04,96.06033325195312,56.75606155395508,1.6926697565716875,-0.008935642547726275,3.0948070838907015e-05,0.017564906135090992
