Date,HD,LOW
2010-11-10,22.27008438110352,16.615623474121094
2010-11-11,22.28413772583008,16.950063705444336
2010-11-12,22.10136032104492,16.48639488220215
2010-11-15,22.066219329833984,16.31157684326172
2010-11-16,22.29116439819336,16.39518928527832
2010-11-17,21.672555923461918,16.357189178466797
2010-11-18,21.70067405700684,16.448396682739258
2010-11-19,21.94671630859375,16.790433883666992
2010-11-22,21.855323791503903,16.972864151000977
2010-11-23,21.72879409790039,16.775238037109375
2010-11-24,21.90452766418457,17.223695755004883
2010-11-26,21.792068481445312,16.904447555541992
2010-11-29,21.57414054870605,16.99566078186035
2010-11-30,21.40128517150879,17.25409507751465
2010-12-01,22.393070220947266,18.05219078063965
2010-12-02,23.63279914855957,18.94150733947754
2010-12-03,23.71780204772949,18.89589500427246
2010-12-06,23.618623733520508,18.865493774414062
2010-12-07,23.767396926879883,19.11631965637207
2010-12-08,24.1074333190918,19.503963470458984
2010-12-09,24.312885284423828,19.139131546020508
2010-12-10,24.369543075561523,19.16952133178711
2010-12-13,24.482898712158203,19.00231170654297
2010-12-14,24.59625244140625,19.085920333862305
2010-12-15,24.64583396911621,19.123926162719727
2010-12-16,24.87961196899414,19.3443546295166
2010-12-17,24.86544418334961,19.131526947021484
2010-12-20,24.9362850189209,19.427961349487305
2010-12-21,24.851274490356445,19.519161224365234
2010-12-22,24.922117233276367,19.511571884155277
2010-12-23,24.85835647583008,19.39756202697754
2010-12-27,24.964622497558597,19.367149353027344
2010-12-28,24.85835647583008,19.11631965637207
2010-12-29,24.7166748046875,19.02511215209961
2010-12-30,24.69541931152344,18.994707107543945
2010-12-31,24.83710479736328,19.0631160736084
2011-01-03,25.014217376708984,19.123926162719727
2011-01-04,24.560815811157227,18.667865753173828
2011-01-05,24.482898712158203,18.759078979492188
2011-01-06,24.383718490600582,18.341026306152344
2011-01-07,24.355382919311523,18.234619140625
2011-01-10,24.36247062683105,18.47783660888672
2011-01-11,24.69541931152344,18.538658142089844
2011-01-12,24.674171447753903,18.57665634155273
2011-01-13,24.985877990722656,18.660266876220703
2011-01-14,25.425094604492188,19.08783721923828
2011-01-18,25.517187118530277,19.09546661376953
2011-01-19,25.240901947021484,18.629728317260746
2011-01-20,25.850143432617188,19.31689071655273
2011-01-21,25.86431312561035,19.09546661376953
2011-01-24,25.96349334716797,19.141277313232425
2011-01-25,26.324787139892575,19.51539802551269
2011-01-26,26.508962631225582,19.736825942993164
2011-01-27,26.90568351745605,20.034591674804688
2011-01-28,25.99890518188477,19.278705596923828
2011-01-31,26.04849624633789,18.93513298034668
2011-02-01,26.2043571472168,19.08783721923828
2011-02-02,25.899738311767575,18.5228328704834
2011-02-03,25.99890518188477,18.70608329772949
2011-02-04,26.069751739501957,18.866411209106445
2011-02-07,25.92807006835937,18.797687530517575
2011-02-08,26.324787139892575,18.89695167541504
2011-02-09,26.331865310668945,18.68317222595215
2011-02-10,26.431039810180664,18.65262985229492
2011-02-11,26.55147171020508,19.156543731689453
2011-02-14,26.622316360473636,19.217634201049805
2011-02-15,26.700244903564453,19.53066635131836
2011-02-16,26.820680618286133,19.69100570678711
2011-02-17,27.047365188598636,19.958234786987305
2011-02-18,27.259897232055664,20.080394744873047
2011-02-22,26.983604431152344,19.843721389770508
2011-02-23,26.423967361450195,19.64520072937012
2011-02-24,26.31061553955078,19.171823501586918
2011-02-25,26.26810646057129,19.29397964477539
2011-02-28,26.54439163208008,19.98114585876465
2011-03-01,26.041412353515625,19.46958541870117
2011-03-02,25.97057342529297,19.683374404907227
2011-03-03,26.601072311401367,20.06513214111328
2011-03-04,26.367280960083008,20.034591674804688
2011-03-07,26.119340896606445,19.851348876953125
2011-03-08,26.41889762878418,20.317094802856445
2011-03-09,26.86825942993164,20.4774227142334
2011-03-10,26.4403133392334,20.37053680419922
2011-03-11,26.4902400970459,20.56904983520508
2011-03-14,26.16214179992676,20.46979141235352
2011-03-15,25.883962631225582,20.339996337890625
2011-03-16,25.448883056640625,19.851348876953125
2011-03-17,25.50594520568848,19.91242027282715
2011-03-18,25.67713165283203,20.004051208496094
2011-03-21,25.98381996154785,20.095674514770508
2011-03-22,25.883962631225582,20.19492530822754
2011-03-23,26.11935043334961,20.591951370239254
2011-03-24,26.647151947021484,20.82863426208496
2011-03-25,26.68994140625,20.75992774963379
2011-03-28,26.140735626220703,20.401084899902344
2011-03-29,26.889663696289062,20.56141662597656
2011-03-30,26.79693031311035,20.591951370239254
2011-03-31,26.433177947998047,20.179658889770508
2011-04-01,26.789794921875,20.416349411010746
2011-04-04,26.725605010986328,20.294191360473636
2011-04-05,26.818330764770508,20.446889877319336
2011-04-06,26.74700164794922,20.3629093170166
2011-04-07,26.98238182067871,20.30946159362793
2011-04-08,26.718469619750977,20.4774227142334
2011-04-11,26.818330764770508,20.446889877319336
2011-04-12,26.93244743347168,20.683578491210938
2011-04-13,26.86825942993164,20.54613876342773
2011-04-14,26.98950958251953,20.683578491210938
2011-04-15,27.22488594055176,20.65304374694824
2011-04-18,26.93244743347168,20.28504943847656
2011-04-19,26.9395809173584,20.43838119506836
2011-04-20,27.060840606689453,20.43838119506836
2011-04-21,26.96097946166992,20.446046829223636
2011-04-25,26.789794921875,20.19306182861328
2011-04-26,26.5401668548584,20.13939094543457
2011-04-27,26.618614196777344,20.499711990356445
2011-04-28,26.725605010986328,20.39238166809082
2011-04-29,26.49736213684082,20.12405776977539
2011-05-02,26.640010833740234,20.223731994628903
2011-05-03,26.640010833740234,19.970739364624023
2011-05-04,26.52589607238769,19.7484130859375
