date,spread_raw,spread_filtered,P,K,z_score,signal,position
2010-11-10,-1.2336761468811024,-1.2335516714349435,0.009899102007870069,0.9899102007870043,0.3281671198236172,NEUTRAL,0
2010-11-11,-1.3067046262197937,-1.2654100567274325,0.005169574473822718,0.5169574473822719,0.2950248989735587,NEUTRAL,0
2010-11-12,-1.223585777713768,-1.2417414528381356,0.0037759465003840576,0.3775946500384057,0.319647304977813,NEUTRAL,0
2010-11-15,-1.1884983516963676,-1.2162694065162165,0.0031976514974905923,0.31976514974905923,0.346145828897134,NEUTRAL,0
2010-11-16,-1.1821754352104001,-1.1976920964171398,0.0029248711616410477,0.2924871161641048,0.3654717711396864,NEUTRAL,0
2010-11-17,-1.2423661611558212,-1.2015120836281057,0.002788461309039813,0.2788461309039813,0.36149784532304813,NEUTRAL,0
2010-11-18,-1.2595857057283104,-1.2085488665047377,0.0027182544463920204,0.27182544463920205,0.354177492768136,NEUTRAL,0
2010-11-19,-1.3085594687216804,-1.226522899201262,0.002681585158327878,0.2681585158327878,0.33547913892109327,NEUTRAL,0
2010-11-22,-1.3593872273561503,-1.252895301071909,0.002662285451856686,0.2662285451856686,0.3080439767457665,NEUTRAL,0
2010-11-23,-1.3293584976068127,-1.26396783791199,0.0026520867257735685,0.26520867257735686,0.29652523661015484,NEUTRAL,0
2010-11-24,-1.409866382713782,-1.2932882468744216,0.002646685859073222,0.2646685859073222,0.2660232679659361,NEUTRAL,0
2010-11-26,-1.3511537492569623,-1.2990732009993518,0.00264382254383234,0.264382254383234,0.26000519060716004,NEUTRAL,0
2010-11-29,-1.395685408910318,-1.3150428935722824,0.0026423036283341555,0.26423036283341556,0.2433919481813303,NEUTRAL,0
2010-11-30,-1.4725071588199596,-1.3469602956328635,0.0026414976278572398,0.264149762785724,0.21018833229370149,NEUTRAL,0
2010-12-01,-1.5404124335471643,-1.3881401699620375,0.0026410698583707653,0.2641069858370765,0.16734898318466468,NEUTRAL,0
2010-12-02,-1.6011368685734286,-1.4341737082035917,0.002640842807615252,0.26408428076152524,0.11946037624792538,NEUTRAL,0
2010-12-03,-1.581531139216033,-1.462532230840416,0.0026407222883120594,0.26407222883120596,0.08995905621609687,NEUTRAL,0
2010-12-06,-1.5857597631851532,-1.4843091372159223,0.002640658314657595,0.2640658314657595,0.06730457972892125,NEUTRAL,0
2010-12-07,-1.62518589349872,-1.510585808085606,0.002640624355923856,0.2640624355923856,0.0399690063415068,NEUTRAL,0
2010-12-08,-1.6738954872758751,-1.5425924697081548,0.0026406063296948914,0.2640606329694891,0.006672533892299187,NEUTRAL,0
2010-12-09,-1.56972395050613,-1.538404239721079,0.0026405967608413637,0.2640596760841364,0.011029542005802839,NEUTRAL,0
2010-12-10,-1.5702136192199636,-1.53548205305144,0.0026405916814018285,0.2640591681401828,0.014069487536033818,NEUTRAL,0
2010-12-13,-1.5203369709884829,-1.5201826158296434,0.0026405889850774278,0.2640588985077428,0.029985464527056326,NEUTRAL,0
2010-12-14,-1.526404276631935,-1.5106378489740249,0.0026405875537838168,0.2640587553783817,0.03991486829899854,NEUTRAL,0
2010-12-15,-1.5293770899032122,-1.5044687000515489,0.002640586794008024,0.2640586794008024,0.04633262281381394,NEUTRAL,0
2010-12-16,-1.552586293941952,-1.506102558983615,0.0026405863906950053,0.2640586390695005,0.044632922308994474,NEUTRAL,0
2010-12-17,-1.5066966208027304,-1.4951753941343389,0.002640586176603682,0.26405861766036826,0.05600043222435378,NEUTRAL,0
2010-12-20,-1.5649436561390986,-1.502594689529075,0.002640586062957223,0.2640586062957223,0.048282152585676155,NEUTRAL,0
